Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1737286240.3942053,20672,1737286240,393694945,,1737286241,109639000,fcu
1737286240.4948514,20673,1737286240,493774112,,1737286241,210046000,fcu
1737286240.59114,20674,1737286240,590609686,,1737286241,307070000,fcu
1737286240.6965785,20675,1737286240,694783260,,1737286241,410088000,fcu
1737286240.7955737,20676,1737286240,794910871,,1737286241,510059000,fcu
1737286240.8979378,20677,1737286240,896760834,,1737286241,612377000,fcu
1737286240.9915285,20678,1737286240,990760278,,1737286241,707048000,fcu
1737286241.099205,20679,1737286241,94059815,,1737286241,810122000,fcu
1737286241.196206,20680,1737286241,193840556,,1737286241,909997000,fcu
1737286241.2992253,20681,1737286241,294074593,,1737286242,10085000,fcu
1737286241.3965788,20682,1737286241,393876426,,1737286242,109984000,fcu
1737286241.4979374,20683,1737286241,497010315,,1737286242,212818000,fcu
1737286241.5966477,20684,1737286241,593810315,,1737286242,309088000,fcu
1737286241.6982238,20685,1737286241,696846333,,1737286242,412954000,fcu
1737286241.7954707,20686,1737286241,793858185,,1737286242,509320000,fcu
1737286241.89639,20687,1737286241,894920574,,1737286242,610911000,fcu
1737286241.9942937,20688,1737286241,993832018,,1737286242,709623000,fcu
1737286242.0943515,20689,1737286242,93082815,,1737286242,809040000,fcu
1737286242.1932774,20690,1737286242,191059259,,1737286242,907262000,fcu
1737286242.2965066,20691,1737286242,295174759,,1737286243,11387000,fcu
1737286242.393556,20692,1737286242,391856407,,1737286243,107321000,fcu
1737286242.4980414,20693,1737286242,496850148,,1737286243,213373000,fcu
1737286242.5961256,20694,1737286242,594105555,,1737286243,310316000,fcu
1737286242.700852,20695,1737286242,699224870,,1737286243,414462000,fcu
1737286242.7931256,20696,1737286242,792144796,,1737286243,508115000,fcu
1737286242.892386,20697,1737286242,891146759,,1737286243,607381000,fcu
1737286242.993785,20698,1737286242,992973870,,1737286243,709088000,fcu
1737286243.0961752,20699,1737286243,95211907,,1737286243,810625000,fcu
